TITLE	N-GQD_BC
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:08:09
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    87,00690
MAXY	   100,03275
MINY	    78,27451
XYDATA
1428,9940	97,8079
1429,9583	97,7748
1430,9225	97,7463
1431,8867	97,7274
1432,8510	97,7139
1433,8152	97,695
1434,7794	97,6587
1435,7437	97,602
1436,7079	97,5387
1437,6721	97,4915
1438,6364	97,4697
1439,6006	97,4638
1440,5648	97,4585
1441,5291	97,4426
1442,4933	97,41
1443,4575	97,3584
1444,4218	97,2876
1445,3860	97,1983
1446,3502	97,0942
1447,3145	96,9828
1448,2787	96,8755
1449,2429	96,7817
1450,2072	96,7037
1451,1714	96,6365
1452,1356	96,5729
1453,0999	96,5048
1454,0641	96,4206
1455,0283	96,2987
1455,9926	96,1108
1456,9568	95,8666
1457,9210	95,6542
1458,8853	95,5395
1459,8495	95,4986
1460,8137	95,4889
1461,7780	95,49
1462,7422	95,5012
1463,7064	95,534
1464,6707	95,5997
1465,6349	95,6927
1466,5991	95,7885
1467,5634	95,8625
1468,5276	95,9002
1469,4918	95,8912
1470,4561	95,8186
1471,4203	95,6591
1472,3845	95,4069
1473,3488	95,114
1474,3130	94,8685
1475,2772	94,7083
1476,2415	94,6152
1477,2057	94,5668
1478,1699	94,5587
1479,1342	94,6001
1480,0984	94,7018
1481,0626	94,8645
1482,0269	95,0725
1482,9911	95,2972
1483,9553	95,5088
1484,9196	95,6854
1485,8838	95,8137
1486,8480	95,8839
1487,8123	95,89
1488,7765	95,843
1489,7407	95,7819
1490,7050	95,7446
1491,6692	95,7338
1492,6334	95,73
1493,5977	95,7138
1494,5619	95,6713
1495,5261	95,5947
1496,4904	95,4857
1497,4546	95,3629
1498,4188	95,2544
1499,3831	95,1744
1500,3473	95,1177
1501,3115	95,0732
1502,2758	95,0334
1503,2400	94,9921
1504,2042	94,938
1505,1685	94,8436
1506,1327	94,6582
1507,0969	94,3632
1508,0612	94,0684
1509,0254	93,8776
1509,9896	93,766
1510,9539	93,6816
1511,9181	93,5935
1512,8823	93,4828
1513,8466	93,3335
1514,8108	93,1356
1515,7750	92,8946
1516,7393	92,6322
1517,7035	92,3681
1518,6677	92,095
1519,6320	91,7781
1520,5962	91,3891
1521,5604	90,9498
1522,5247	90,5275
1523,4889	90,1746
1524,4531	89,8949
1525,4174	89,6663
1526,3816	89,4759
1527,3458	89,3279
1528,3101	89,2299
1529,2743	89,1816
1530,2385	89,1748
1531,2028	89,2005
1532,1670	89,252
1533,1312	89,3234
1534,0955	89,4064
1535,0597	89,4919
1536,0239	89,5742
1536,9882	89,6499
1537,9524	89,712
1538,9166	89,7412
1539,8809	89,7073
1540,8451	89,6161
1541,8093	89,5585
1542,7736	89,6019
1543,7378	89,7286
1544,7020	89,9048
1545,6663	90,1108
1546,6305	90,3351
1547,5947	90,5699
1548,5590	90,8085
1549,5232	91,0433
1550,4874	91,2642
1551,4517	91,4596
1552,4159	91,6217
1553,3801	91,7505
1554,3444	91,8515
1555,3086	91,9281
1556,2728	91,975
1557,2371	91,9775
1558,2013	91,9348
1559,1655	91,9007
1560,1298	91,9219
1561,0940	91,9782
1562,0582	92,0399
1563,0225	92,0935
1563,9867	92,1353
1564,9509	92,1665
1565,9152	92,1935
1566,8794	92,2324
1567,8436	92,3085
1568,8079	92,4418
1569,7721	92,6222
